message,target
he s logic is he is noob,"[0, 1, 0]"
i nvr talk to u before tho,"[1, 0, 0]"
rapieira first item and gg,"[1, 0, 0]"
chase me sniper,"[1, 0, 0]"
look at my wk score,"[1, 0, 0]"
fuck u,"[0, 0, 1]"
u lose   wisdom haha trash lol,"[0, 1, 0]"
i m cashing     s,"[1, 0, 0]"
party with peksudota ,"[1, 0, 0]"
cool throne,"[1, 0, 0]"
have you everrr,"[1, 0, 0]"
why u not in my teamxd,"[1, 0, 0]"
my words exactlyu xdddddddddd,"[1, 0, 0]"
clown meepo,"[0, 0, 1]"
carepichulas,"[1, 0, 0]"
fking trash supp,"[0, 0, 1]"
no he need brains,"[0, 0, 1]"
bought mkb,"[1, 0, 0]"
english and education,"[1, 0, 0]"
aint no way im playing against doctor sex,"[0, 1, 0]"
not a sea end ,"[1, 0, 0]"
suck my dick la,"[0, 0, 1]"
how many guys have fucked your mother when u were watching ,"[0, 0, 1]"
rofl,"[1, 0, 0]"
oh it is you devil icon,"[1, 0, 0]"
sound,"[1, 0, 0]"
that acorn got me fucked up,"[0, 1, 0]"
fu c,"[0, 1, 0]"
toxic is making me play with u,"[1, 0, 0]"
low rank animal,"[0, 0, 1]"
cyka,"[1, 0, 0]"
fucking pathetic,"[0, 1, 0]"
you got assisted by a centaur,"[1, 0, 0]"
thanks to wr,"[1, 0, 0]"
that chrono fuked ya,"[0, 1, 0]"
random or pussy,"[0, 1, 0]"
rebooting my laptop changed nothing   ,"[1, 0, 0]"
where ur mom now od,"[0, 0, 1]"
   observer    secntry in shop all game with   sup,"[1, 0, 0]"
can we all take a moment to breathe and just not play for a minute or two,"[1, 0, 0]"
can u do something ,"[1, 0, 0]"
she likes to drink cum to get into high mmr games,"[0, 1, 0]"
leaving sniper alone,"[1, 0, 0]"
did you shit in my pants,"[0, 1, 0]"
finally u called me,"[1, 0, 0]"
i report necro if u scrim rightr now,"[1, 0, 0]"
cumback ,"[0, 1, 0]"
not this game mate,"[1, 0, 0]"
ty ,"[1, 0, 0]"
marta  lpds and irevall sending their regards thron,"[1, 0, 0]"
let me out of this shitshow,"[0, 1, 0]"
im a terrorist,"[1, 0, 0]"
k ricooo,"[1, 0, 0]"
gl to new player invok,"[1, 0, 0]"
ind g poor country ,"[0, 0, 1]"
thats why you are guardian you idiot,"[0, 0, 1]"
rctm,"[1, 0, 0]"
hope u report this iodiot,"[0, 0, 1]"
see that,"[1, 0, 0]"
thats a shame,"[1, 0, 0]"
that arrowe,"[1, 0, 0]"
whity i will show you now how to play offlane,"[0, 0, 1]"
i play too much sd tbh,"[1, 0, 0]"
wtf is worng with u people  ,"[0, 1, 0]"
who will take it,"[1, 0, 0]"
grandma on fire ,"[1, 0, 0]"
annoying piece of shit,"[0, 0, 1]"
why you so silence         ,"[1, 0, 0]"
fuck u whore mother,"[0, 0, 1]"
welcome back,"[1, 0, 0]"
fu cheater,"[0, 0, 1]"
big mouth,"[1, 0, 0]"
learn english,"[1, 0, 0]"
dont over try sp cs,"[1, 0, 0]"
csmr,"[1, 0, 0]"
i knew you will come,"[1, 0, 0]"
bruh it deserved it,"[1, 0, 0]"
this fucking timber makes me sick,"[0, 1, 0]"
smegma in your cock,"[0, 0, 1]"
yes yes you fk you mom we all know now shut up and play,"[0, 0, 1]"
the two shit noobs ,"[0, 0, 1]"
no se banca   skill,"[1, 0, 0]"
this am is amazing,"[1, 0, 0]"
this game,"[1, 0, 0]"
report np guys ty,"[1, 0, 0]"
this dog say me  use tp,"[0, 0, 1]"
oy pick fast,"[1, 0, 0]"
wtf primal ,"[0, 1, 0]"
sup ind g ,"[0, 0, 1]"
how u know that noob ,"[0, 1, 0]"
waiting for you guys to say  end ,"[1, 0, 0]"
nice throw ,"[1, 0, 0]"
my mid is retarded,"[0, 1, 0]"
so useless this zeus  wanna bm,"[0, 0, 1]"
gg and fuck putin,"[0, 0, 1]"
take it easy bros ,"[1, 0, 0]"
fucking retard unreal,"[0, 0, 1]"
ty for wasting    min,"[1, 0, 0]"
whos playing pikmin  ,"[1, 0, 0]"
because thats what i queued for,"[1, 0, 0]"
sin carry,"[1, 0, 0]"
antiogamer,"[1, 0, 0]"
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,"[0, 1, 0]"
btch,"[0, 1, 0]"
who this gay axe,"[0, 0, 1]"
match,"[1, 0, 0]"
esp this dazzle,"[1, 0, 0]"
we ll give you rampage,"[1, 0, 0]"
i dont want ot play this,"[1, 0, 0]"
suck sucky,"[0, 0, 1]"
my supports will let you,"[1, 0, 0]"
why bane   im sketcher fan    ,"[1, 0, 0]"
is he good ,"[1, 0, 0]"
    match fucking smurf,"[0, 1, 0]"
my axe cant tank for shit so i gotta step up,"[0, 1, 0]"
party with uzbek or ruin,"[1, 0, 0]"
why the fuck,"[0, 1, 0]"
buy another crimson nerd,"[1, 0, 0]"
treant,"[1, 0, 0]"
you guys been called absolute morons before ,"[0, 1, 0]"
fukll of fucking noobs,"[0, 0, 1]"
cry baby stormieeee,"[0, 0, 1]"
tell me why so ez,"[1, 0, 0]"
thanks to ur teammate,"[1, 0, 0]"
u fuckign clowns,"[0, 0, 1]"
pause reason ,"[1, 0, 0]"
razor is such a tryhard faggot,"[0, 0, 1]"
heartless bear,"[1, 0, 0]"
yeah  this match unbalanced as fuck,"[0, 1, 0]"
yep  died   times in a row,"[1, 0, 0]"
might wanna get that examined,"[1, 0, 0]"
this mid and safelane   ,"[1, 0, 0]"
    accident don t even know how i did that,"[1, 0, 0]"
report anti and magnus,"[1, 0, 0]"
i thought all of u,"[1, 0, 0]"
rape ur own mom pa,"[0, 0, 1]"
if my venges mom isnt a fat fucking whore,"[0, 0, 1]"
same with bot,"[1, 0, 0]"
i m supposed to call you my brother  and your dog of a gf is your love,"[0, 0, 1]"
whats,"[1, 0, 0]"
ill report u and pa,"[1, 0, 0]"
herec,"[1, 0, 0]"
we fckng lost,"[0, 1, 0]"
no need to be cunts about it ,"[0, 1, 0]"
my team noob,"[0, 0, 1]"
invis  bitch wins again ,"[0, 1, 0]"
stupid bot s,"[0, 0, 1]"
what low mental fortitude,"[1, 0, 0]"
learn before u talk sh it tard,"[0, 0, 1]"
who needs a shard,"[1, 0, 0]"
more noob dotn know  timing of rs,"[0, 1, 0]"
basher troll though,"[1, 0, 0]"
its free,"[1, 0, 0]"
i dont speak ching chonmg,"[0, 0, 1]"
need mana fucker,"[0, 1, 0]"
distrupter says its ease    ,"[1, 0, 0]"
for griefing now,"[1, 0, 0]"
how did she get this farm  ,"[1, 0, 0]"
while fucking her ass,"[0, 0, 1]"
thanks,"[1, 0, 0]"
yeees  no spin,"[1, 0, 0]"
need a paws ,"[1, 0, 0]"
really,"[1, 0, 0]"
push ftw,"[1, 0, 0]"
nah    min que didnty expect game,"[1, 0, 0]"
asi me gusta,"[1, 0, 0]"
rofl,"[1, 0, 0]"
with this timber on my team,"[1, 0, 0]"
where tips wtf,"[0, 1, 0]"
sound slike he has throat cancer,"[1, 0, 0]"
next,"[1, 0, 0]"
but why linken,"[1, 0, 0]"
that is fucking retarded,"[0, 1, 0]"
spec cant cs top,"[1, 0, 0]"
tang ina,"[0, 1, 0]"
or what other shithole u from,"[0, 1, 0]"
it s ok,"[1, 0, 0]"
when the tiger hungry he eats ,"[1, 0, 0]"
when u go,"[1, 0, 0]"
he noob in short,"[0, 1, 0]"
three mothers,"[1, 0, 0]"
trash ,"[0, 1, 0]"
no fucking shit  you re puck,"[0, 1, 0]"
i gape her and fuck her ass,"[0, 0, 1]"
i dont know what happen toi this sht team,"[0, 0, 1]"
mad at that tb,"[1, 0, 0]"
fcuk this qop,"[0, 0, 1]"
well our void also sucks,"[0, 0, 1]"
nah that s rank,"[1, 0, 0]"
boring,"[1, 0, 0]"
not,"[1, 0, 0]"
namo    troll or retarded ,"[0, 0, 1]"
whati n the fuck,"[0, 1, 0]"
great fucking job od,"[0, 1, 0]"
last pick timber ,"[1, 0, 0]"
where is ur item ,"[1, 0, 0]"
down syndrome monkey,"[0, 0, 1]"
thanks,"[1, 0, 0]"
timber is casting his spells  his eyes are slightly more fucked than his cousins at family reunion  so he keeps thinking he is playing pudge,"[0, 0, 1]"
if u reach top     they said,"[1, 0, 0]"
nyxs mom is sucking me off rn,"[0, 0, 1]"
ur big mouth to rank   ,"[1, 0, 0]"
f u idiot lc  when we gank u were always jungle early game,"[0, 0, 1]"
piss off pa,"[1, 0, 0]"
he s cmming back fasat,"[1, 0, 0]"
gg this underlord pussy,"[0, 0, 1]"
u deserve nothing,"[1, 0, 0]"
for what,"[1, 0, 0]"
in arabic ,"[1, 0, 0]"
nailed it,"[1, 0, 0]"
learning,"[1, 0, 0]"
hey jakiro whorechild,"[0, 0, 1]"
who can carry or    ,"[1, 0, 0]"
nothing,"[1, 0, 0]"
im created by god,"[1, 0, 0]"
fucking trahs,"[0, 0, 1]"
lol that enigma,"[1, 0, 0]"
still cant win to me,"[1, 0, 0]"
and they still fail like dog,"[0, 0, 1]"
lycan my ass xd,"[0, 1, 0]"
warlock stfu noob,"[0, 0, 1]"
if u new who i was i wudnt talk shit   me   ,"[0, 1, 0]"
getting this shit rng,"[0, 1, 0]"
omg what a fucker,"[0, 1, 0]"
missed cs  ,"[1, 0, 0]"
even ur own team,"[1, 0, 0]"
win pls ,"[1, 0, 0]"
retarded offlane,"[0, 0, 1]"
f ur mom russian in dota,"[0, 0, 1]"
its arc warden o clock,"[1, 0, 0]"
u guys ok or what,"[1, 0, 0]"
try my asshole,"[0, 0, 1]"
going in tower hit range,"[1, 0, 0]"
you know it works when you re dead right ,"[1, 0, 0]"
ofcourse,"[1, 0, 0]"
fuickl u,"[0, 0, 1]"
you are lower than me cockspaghetti,"[0, 1, 0]"
ur mid is so trash,"[0, 0, 1]"
nice od afk,"[1, 0, 0]"
me la cachee,"[1, 0, 0]"
you were given a free game,"[1, 0, 0]"
this es,"[1, 0, 0]"
such a hate boner,"[0, 1, 0]"
ursa reported for being  a dog,"[0, 0, 1]"
probs fuckin goats,"[0, 1, 0]"
scaredy shits ,"[0, 0, 1]"
pick sd and mirana without combo,"[1, 0, 0]"
every game i play with idiots    ,"[0, 1, 0]"
that  ,"[1, 0, 0]"
im gonna go play overwatch fuck this,"[0, 1, 0]"
she cant do shit,"[0, 1, 0]"
like fuck off cunt,"[0, 1, 0]"
end please i got the rtard team again ,"[0, 0, 1]"
weirdest shit ive ever seen,"[0, 1, 0]"
idk wtf my team is doing,"[0, 1, 0]"
what,"[1, 0, 0]"
end this boring ass game,"[1, 0, 0]"
fuck why pigg jugg,"[0, 1, 0]"
report gay jugg,"[0, 0, 1]"
report ty,"[1, 0, 0]"
will sup only with boom,"[1, 0, 0]"
they said supp  st,"[1, 0, 0]"
fk off spe,"[0, 1, 0]"
i ate a shit ton of broccoli,"[0, 1, 0]"
i fuck both of ur gay fyucking faggot dads,"[0, 0, 1]"
pa throwing,"[1, 0, 0]"
to base,"[1, 0, 0]"
  sitting in base,"[1, 0, 0]"
he scared,"[1, 0, 0]"
ibs is not a handicap,"[1, 0, 0]"
you are shit player bro come on ,"[0, 0, 1]"
learn from replay ok  ,"[1, 0, 0]"
low mmr trash,"[0, 0, 1]"
any offlaner,"[1, 0, 0]"
stop this shit ,"[0, 1, 0]"
noob carry jugg,"[0, 0, 1]"
hhilarious rubick,"[1, 0, 0]"
tellme what do u wantfrom me  ,"[1, 0, 0]"
bzm also tilted ,"[1, 0, 0]"
i have     winrate tq bro,"[1, 0, 0]"
shut up nigger go back to candyland,"[0, 0, 1]"
that stupd,"[0, 1, 0]"
wtf just rat ,"[0, 1, 0]"
but ur team left u,"[1, 0, 0]"
throne it up ,"[1, 0, 0]"
who banned naix,"[1, 0, 0]"
well not really  ytou were shit,"[0, 1, 0]"
first hit bash,"[1, 0, 0]"
stop walking to fountain,"[1, 0, 0]"
intro boy ,"[1, 0, 0]"
bro idk how to use this,"[1, 0, 0]"
packetloss,"[1, 0, 0]"
dont forget to report this faggot sb ,"[0, 0, 1]"
team afk,"[1, 0, 0]"
break items,"[1, 0, 0]"
  cis team,"[1, 0, 0]"
not in one team with manticore pls,"[1, 0, 0]"
was lost,"[1, 0, 0]"
crusader rank is tier of noobs,"[0, 0, 1]"
for a  rd world dog,"[0, 0, 1]"
 pior de todos,"[1, 0, 0]"
so its not fair then wtf,"[0, 1, 0]"
your ancient needs that much help ,"[1, 0, 0]"
on bot ,"[1, 0, 0]"
you and i,"[1, 0, 0]"
mine crying from beggining,"[1, 0, 0]"
fk ur country,"[0, 0, 1]"
sort of ,"[1, 0, 0]"
crash,"[1, 0, 0]"
easiest fucking top of my lfie,"[0, 1, 0]"
pause for him ,"[1, 0, 0]"
very hard,"[1, 0, 0]"
ks this nob g,"[0, 1, 0]"
luna once saw how her dad is fucking her another dad,"[0, 0, 1]"
u wont fight,"[1, 0, 0]"
can we swap report for ursa ,"[1, 0, 0]"
i know ur life is bullshit,"[0, 0, 1]"
noobs are   for   today,"[0, 0, 1]"
nice of you to come back to the lost lane enigma,"[1, 0, 0]"
fuck off,"[0, 1, 0]"
no tps team shit,"[0, 0, 1]"
hellow,"[1, 0, 0]"
actually hilarious ,"[1, 0, 0]"
ur not even there,"[1, 0, 0]"
you play the exact same hero,"[1, 0, 0]"
the goofy ass cookie,"[1, 0, 0]"
trash   low skill,"[1, 0, 0]"
lol big fucking brains on this puck,"[0, 1, 0]"
pudge go home man,"[1, 0, 0]"
but saberchad stronger,"[1, 0, 0]"
this is funny this hero got   fkin intellengence,"[0, 1, 0]"
when this dick head is whining already,"[0, 1, 0]"
help a brotha wet his willy,"[0, 0, 1]"
pls be nice,"[1, 0, 0]"
fuc off,"[0, 1, 0]"
always   dog suck my djck    ,"[0, 0, 1]"
nice off,"[1, 0, 0]"
wha mean,"[1, 0, 0]"
also our es,"[1, 0, 0]"
ubos tuloy kayo araw araw,"[1, 0, 0]"
in the name of allah,"[1, 0, 0]"
french plese,"[1, 0, 0]"
idiot as fuck,"[0, 1, 0]"
fair play i respect it,"[1, 0, 0]"
i ll steaaaal everything from youuu,"[1, 0, 0]"
beleive that you can kill more than a lowly lich,"[1, 0, 0]"
c an w e  end ,"[1, 0, 0]"
you were never gonna win with brad on your team anyway dude,"[1, 0, 0]"
  times my buttons were pressed,"[1, 0, 0]"
why me ,"[1, 0, 0]"
fuck this trashg shit,"[0, 0, 1]"
fucking retarded cunt,"[0, 0, 1]"
 the squirt is piss ,"[0, 1, 0]"
team idiots,"[0, 0, 1]"
trashcans,"[1, 0, 0]"
what a moron,"[0, 0, 1]"
ill roll for yous,"[1, 0, 0]"
jugger was really bad,"[1, 0, 0]"
u have reached a stage of the game where sniper understands how to play now,"[1, 0, 0]"
after the loss,"[1, 0, 0]"
in real life,"[1, 0, 0]"
 but ty ,"[1, 0, 0]"
his router isn t giving input output,"[1, 0, 0]"
wtf i thought offlane or jg huskar,"[0, 1, 0]"
i really fuckign tried,"[0, 1, 0]"
nothings gonna change the fact u son of whores are  k mmr ,"[0, 0, 1]"
sh currier,"[1, 0, 0]"
shove it up your ass,"[0, 0, 1]"
will not supp,"[1, 0, 0]"
ty free duel,"[1, 0, 0]"
phoenix w the drip,"[1, 0, 0]"
ez as ur mom was,"[0, 0, 1]"
this fucking,"[0, 1, 0]"
im higher rank  more people would watch me then your dumbass,"[1, 0, 0]"
wait for lc,"[1, 0, 0]"
where my archin gank all map,"[1, 0, 0]"
by the way a noob necro,"[0, 0, 1]"
and otehr times dont,"[1, 0, 0]"
literal definiton of a sore loser,"[0, 0, 1]"
retarded ape,"[0, 0, 1]"
youre lucky our bs built like a fucking offlane or something,"[0, 1, 0]"
nice shit  d ,"[0, 1, 0]"
then first hit tried it became dark xd dota wtf,"[0, 1, 0]"
noob will lose no matter how,"[0, 1, 0]"
report legion not playing his role,"[1, 0, 0]"
wat a trash,"[0, 1, 0]"
party with    ,"[1, 0, 0]"
cant speak for the others,"[1, 0, 0]"
my oflainer,"[1, 0, 0]"
win ,"[1, 0, 0]"
 nyx reported,"[1, 0, 0]"
      of gold xd,"[1, 0, 0]"
clowns,"[1, 0, 0]"
u know who is dick,"[0, 1, 0]"
u talk alot of shit for a game thats not won yet,"[0, 1, 0]"
what a loser,"[0, 0, 1]"
cu slabul asta de why so serious,"[1, 0, 0]"
so fuck it ,"[0, 1, 0]"
idiot how,"[0, 1, 0]"
how to win ,"[1, 0, 0]"
stupid carry,"[0, 0, 1]"
always kill me first,"[1, 0, 0]"
do i really hurt the ones i love   ,"[1, 0, 0]"
i think pl may be the top contender for gayest hero ,"[0, 0, 1]"
aight gg,"[1, 0, 0]"
hope atomic bomb will land their home,"[0, 0, 1]"
idiot team,"[0, 0, 1]"
thats only illu bro,"[1, 0, 0]"
tired of supporting fucking noobs,"[0, 0, 1]"
he prob gonna play better than this qop,"[1, 0, 0]"
idk man i have pos   talking shit to me all game when he picks alch pos   and feeds all game ,"[0, 1, 0]"
future and  or k can mid,"[1, 0, 0]"
worth,"[1, 0, 0]"
the fuck,"[0, 1, 0]"
     me when rape ur mom,"[0, 0, 1]"
rat fagot team,"[0, 0, 1]"
what piggy,"[0, 0, 1]"
why respect  ,"[1, 0, 0]"
throne,"[1, 0, 0]"
wtf was that idiot fish,"[0, 1, 0]"
fuck this night,"[0, 1, 0]"
sry its raining,"[1, 0, 0]"
with his low brain,"[0, 0, 1]"
ksh smurf or what  ,"[1, 0, 0]"
im not there retards,"[0, 0, 1]"
ty for win,"[1, 0, 0]"
you understand me now ,"[1, 0, 0]"
is fucking u in mid ,"[0, 1, 0]"
nt am,"[1, 0, 0]"
easy,"[1, 0, 0]"
he is retarded,"[0, 0, 1]"
im in discord with him,"[1, 0, 0]"
cool game,"[1, 0, 0]"
our  th is different,"[1, 0, 0]"
we literally cannot win because arc warden iwll never fight,"[1, 0, 0]"
 good game easy,"[1, 0, 0]"
btch,"[0, 1, 0]"
hilarious,"[1, 0, 0]"
ceb bto dne or feed ,"[1, 0, 0]"
tanga mo,"[0, 0, 1]"
pa is crying,"[1, 0, 0]"
toxic,"[1, 0, 0]"
tnagina ign pa lang,"[0, 1, 0]"
why you tip me unskilled bitch ,"[0, 0, 1]"
worst team ever,"[1, 0, 0]"
i thought meepo storm would get fucked this game,"[0, 1, 0]"
fuck off nabsters,"[0, 1, 0]"
was it worth it ,"[1, 0, 0]"
gg fuck this unedrlord,"[0, 0, 1]"
it s the same reason why you play so shit,"[0, 1, 0]"
but thats the peruvian way,"[1, 0, 0]"
lost to shitwrath,"[0, 1, 0]"
stupid cnt i got two for your one,"[0, 0, 1]"
and report the whores on puck and axe,"[0, 0, 1]"
god of stupid,"[0, 1, 0]"
also u swapped my storm,"[1, 0, 0]"
rat ass bitch,"[0, 0, 1]"
kinda free game for you,"[1, 0, 0]"
what are the fucking odds,"[0, 1, 0]"
classic road to  k guy,"[1, 0, 0]"
team is dogs,"[0, 0, 1]"
nice feed retard,"[0, 0, 1]"
name chinese,"[1, 0, 0]"
vacation in new jersey ,"[1, 0, 0]"
gay over,"[0, 0, 1]"
you re literally a retard,"[0, 0, 1]"
brat ty chego,"[1, 0, 0]"
is idiot pick veng,"[0, 1, 0]"
are you chingchong ,"[0, 0, 1]"
find me gay ,"[0, 1, 0]"
dont play with flowers if you want to get your arse tickled,"[1, 0, 0]"
did he kill anyone  ,"[1, 0, 0]"
suck my ass,"[0, 0, 1]"
u knwo why putin rape ur ass ,"[0, 0, 1]"
sorry to waste your time,"[1, 0, 0]"
for yourself,"[1, 0, 0]"
why do i need to cry  ,"[1, 0, 0]"
just go throne,"[1, 0, 0]"
willow suck it,"[1, 0, 0]"
sorry busy fucking ur motherss,"[0, 0, 1]"
  win worth    losses where you get shitstomped like this and paused like    times,"[0, 1, 0]"
trash offlane pa,"[0, 0, 1]"
witch brazilian nobb,"[0, 0, 1]"
fucking crybaby stealer bitch,"[0, 0, 1]"
me and fuck sippin,"[0, 1, 0]"
g throne,"[1, 0, 0]"
lose now ,"[1, 0, 0]"
and my   sits top with his thumb up his ass,"[0, 0, 1]"
u suck line for me all game,"[0, 0, 1]"
ok that was personal,"[1, 0, 0]"
shut up archon noob,"[0, 0, 1]"
more than there are minutes this game,"[1, 0, 0]"
how come visage never gets banned,"[1, 0, 0]"
fck u pl ahhaha,"[0, 0, 1]"
but this dude dont hahaha,"[1, 0, 0]"
ur not serious idiot,"[0, 1, 0]"
ez win for you,"[1, 0, 0]"
lmao u clowns,"[0, 0, 1]"
you killed me and got   level wtf,"[0, 1, 0]"
we can t kill jugg,"[1, 0, 0]"
you think im football  ,"[1, 0, 0]"
hand of midas  what a joke,"[1, 0, 0]"
so its ur fault noob,"[0, 0, 1]"
straight pls,"[1, 0, 0]"
toxic shit,"[0, 1, 0]"
if you re playin  me  keep it on the low cause my heart can t take it anymore,"[1, 0, 0]"
for sure,"[1, 0, 0]"
with a big nose,"[0, 0, 1]"
trash team,"[0, 0, 1]"
go thorne,"[1, 0, 0]"
disrupt mid from there you know its gg,"[1, 0, 0]"
thats mad racist,"[1, 0, 0]"
report brown,"[1, 0, 0]"
why you think you can talk to me  ,"[1, 0, 0]"
u do not count my friend,"[1, 0, 0]"
go fuck yourself ,"[0, 0, 1]"
what is sex ,"[0, 1, 0]"
acc buying son of whore,"[0, 0, 1]"
because es babysit,"[1, 0, 0]"
harosh,"[1, 0, 0]"
bro i need some crits fuck me ,"[0, 1, 0]"
crashed,"[1, 0, 0]"
nice catch retard  d,"[0, 1, 0]"
really,"[1, 0, 0]"
i feel like you should know,"[1, 0, 0]"
tri lane for what ,"[1, 0, 0]"
dick for living,"[0, 1, 0]"
racoon mid razor wins this,"[1, 0, 0]"
on the map,"[1, 0, 0]"
every day,"[1, 0, 0]"
what,"[1, 0, 0]"
use shell,"[1, 0, 0]"
wasting time ,"[1, 0, 0]"
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,"[0, 1, 0]"
this brood is a fatbitch,"[0, 0, 1]"
razor isnt carry ,"[1, 0, 0]"
pink u had him in ur team and  nd picked him,"[1, 0, 0]"
fucking brilliantly person here,"[0, 0, 1]"
second game useless team,"[0, 0, 1]"
wtf is up with you guys,"[0, 1, 0]"
thx go,"[1, 0, 0]"
cringe shit,"[0, 1, 0]"
pink dont pick me ty,"[1, 0, 0]"
omg no this trash no way,"[0, 1, 0]"
honestly prob best as   atm  had some luck there when i ve been core,"[1, 0, 0]"
i first picked pudge bro,"[1, 0, 0]"
why,"[1, 0, 0]"
u suck ember s fist,"[0, 0, 1]"
again all legends enemy team and my team archons,"[1, 0, 0]"
and fuck putin,"[0, 1, 0]"
ind g poor country ,"[0, 0, 1]"
i got baited,"[1, 0, 0]"
why,"[1, 0, 0]"
end your mom,"[0, 0, 1]"
so fucking stupid,"[0, 0, 1]"
what server  ,"[1, 0, 0]"
stupid ass bitch,"[0, 0, 1]"
no need for salt  qop is whiny enough as it is,"[1, 0, 0]"
very happy,"[1, 0, 0]"
very sad aint it s,"[1, 0, 0]"
undy low shit min    use go end gg and play    min,"[0, 1, 0]"
and u will have tip,"[1, 0, 0]"
click on his sniper avatar,"[1, 0, 0]"
stop aim me ,"[1, 0, 0]"
of my life,"[1, 0, 0]"
son of dog,"[0, 0, 1]"
now fucking kill your team,"[0, 1, 0]"
whatever  fuck putin,"[0, 1, 0]"
top,"[1, 0, 0]"
space cow is also always a gay hero,"[0, 0, 1]"
have an unsucked dick ,"[0, 1, 0]"
annnoying bitch,"[0, 0, 1]"
drow lowest rank in the team cant adjust,"[1, 0, 0]"
ur team so asshole,"[0, 0, 1]"
why cant i have some fucking common sense,"[0, 1, 0]"
already ,"[1, 0, 0]"
fuck this mars mother,"[0, 0, 1]"
i dont wanna play wtih some trash mopngolian and myasnmar players,"[1, 0, 0]"
good trade clowns   ,"[0, 0, 1]"
nyx just type virgin and u win,"[1, 0, 0]"
ignore our monkey io,"[0, 1, 0]"
my support is shet and useless,"[0, 0, 1]"
fucknig palying turn based rpg with qop here,"[0, 1, 0]"
they are farming u,"[1, 0, 0]"
hes new,"[1, 0, 0]"
why sell items wk  ,"[1, 0, 0]"
useless as your army,"[0, 0, 1]"
cancel charge pls ,"[1, 0, 0]"
when lc mom die she say ah,"[0, 0, 1]"
team worried about alch for what,"[1, 0, 0]"
bad draft with a shit tide player,"[0, 0, 1]"
please blue,"[1, 0, 0]"
idiot carry,"[0, 0, 1]"
fk u,"[0, 0, 1]"
he literally stand still,"[1, 0, 0]"
you die like the bitch you are,"[0, 0, 1]"
  fkin losers just can t seem to end,"[0, 0, 1]"
fuq off,"[0, 1, 0]"
thank fuck,"[0, 1, 0]"
bkb really fucked yall up huh,"[0, 1, 0]"
another great game,"[1, 0, 0]"
idiot tide,"[0, 0, 1]"
eayh bc sven mf support ,"[0, 1, 0]"
fight  e,"[1, 0, 0]"
he told,"[1, 0, 0]"
he had good reason its not ranked,"[1, 0, 0]"
bitch,"[0, 0, 1]"
im so fucking bad at this game,"[0, 1, 0]"
end this stupid game with stupid cores,"[0, 0, 1]"
u have gay hero,"[0, 0, 1]"
haters,"[1, 0, 0]"
fuck this game,"[0, 1, 0]"
wtf ur mom came back my ,"[0, 0, 1]"
fuck your mother in teh asshole,"[0, 0, 1]"
fucking apes,"[0, 0, 1]"
after this game,"[1, 0, 0]"
lc u r such a shit eater,"[0, 0, 1]"
riki got a fuciking fly ,"[0, 1, 0]"
a fuckcing fly on riki this game ,"[0, 1, 0]"
my team pause sorry,"[1, 0, 0]"
can we go next ,"[1, 0, 0]"
go to this whore,"[0, 0, 1]"
u understand that if by some miracle,"[1, 0, 0]"
with your mom,"[0, 0, 1]"
throne,"[1, 0, 0]"
did i fucked your mother  ,"[0, 0, 1]"
incompetenct cores blaming support,"[1, 0, 0]"
piece of trash,"[0, 0, 1]"
     to     ,"[1, 0, 0]"
pussy bitch,"[0, 0, 1]"
medalion or force,"[1, 0, 0]"
ching chong wanna be,"[0, 0, 1]"
that doesn count,"[1, 0, 0]"
wtf u talkin about ,"[0, 1, 0]"
stuid team,"[0, 0, 1]"
suck,"[1, 0, 0]"
wdym  you talk to me  st,"[1, 0, 0]"
seriously can you guys just end this shit,"[0, 1, 0]"
jugger playing world of warcraft killin creeps,"[1, 0, 0]"
i m divine   but i m fucking u in the ass xd,"[0, 0, 1]"
this invo is so trash,"[0, 0, 1]"
no buy still come out farm,"[1, 0, 0]"
dont rat man its so loserish,"[1, 0, 0]"
eather play or stop wasting time you idiots,"[0, 0, 1]"
imagine thinking u can go offlane wk first item fucking radiance lol,"[0, 1, 0]"
it seems your mom didnt breastfeed you yesterday,"[0, 0, 1]"
i cant understand that shit,"[0, 1, 0]"
you guys are tired,"[1, 0, 0]"
so is peru,"[1, 0, 0]"
beast u smell penis with cheese ,"[0, 0, 1]"
another notch,"[1, 0, 0]"
if you re playin  me  keep it on the low cause my heart can t take it anymore,"[1, 0, 0]"
fuckin pl pickers,"[0, 1, 0]"
get in the photo,"[1, 0, 0]"
our noob pa will farm till next year,"[0, 0, 1]"
and help,"[1, 0, 0]"
i want to try but  i dont have persona,"[1, 0, 0]"
all chat ,"[1, 0, 0]"
nice csing dog,"[0, 0, 1]"
  o,"[1, 0, 0]"
with the rotation bot,"[1, 0, 0]"
vs   creep waves,"[1, 0, 0]"
ill just slit your throat,"[0, 0, 1]"
depression is for pussies,"[0, 1, 0]"
let me see how good of a server u have ape ,"[0, 0, 1]"
so when you masturbate to sleep  do you press your knees together or wide apart like your asshole is ready to get reamed apart ,"[0, 0, 1]"
lycan tergentot sedunia  ,"[1, 0, 0]"
your morons were worse than our morons,"[0, 0, 1]"
btch,"[0, 1, 0]"
where swm,"[1, 0, 0]"
opinions on powell s increase in rates  ,"[1, 0, 0]"
ogre alone is raping them,"[0, 1, 0]"
